model,batch_size,sequence_length,result
Reformer,1,1,1996
Reformer,1,2,1996
Reformer,1,4,1996
Reformer,1,8,1996
Reformer,1,16,1998
Reformer,1,32,2000
Reformer,1,64,2002
Reformer,1,128,2006
Reformer,1,256,2014
Reformer,1,512,2194
Reformer,1,1024,2374
Reformer,1,2048,2812
Reformer,1,4096,3648
Reformer,2,1,1996
Reformer,2,2,1996
Reformer,2,4,1996
Reformer,2,8,1998
Reformer,2,16,2000
Reformer,2,32,2004
Reformer,2,64,2006
Reformer,2,128,2016
Reformer,2,256,2038
Reformer,2,512,2374
Reformer,2,1024,2812
Reformer,2,2048,3652
Reformer,2,4096,5338
Reformer,4,1,1996
Reformer,4,2,1996
Reformer,4,4,1998
Reformer,4,8,2000
Reformer,4,16,2002
Reformer,4,32,2006
Reformer,4,64,2016
Reformer,4,128,2038
Reformer,4,256,2104
Reformer,4,512,2812
Reformer,4,1024,3652
Reformer,4,2048,5346
Reformer,4,4096,8698
Reformer,8,1,1992
Reformer,8,2,1994
Reformer,8,4,1996
Reformer,8,8,1998
Reformer,8,16,2002
Reformer,8,32,2012
Reformer,8,64,2038
Reformer,8,128,2100
Reformer,8,256,2236
Reformer,8,512,3652
Reformer,8,1024,5346
Reformer,8,2048,8714
Reformer,8,4096,15418
Reformer,16,1,2010
Reformer,16,2,2012
Reformer,16,4,2014
Reformer,16,8,2018
Reformer,16,16,2028
Reformer,16,32,2050
Reformer,16,64,2096
Reformer,16,128,2236
Reformer,16,256,2440
Reformer,16,512,5346
Reformer,16,1024,8714
Reformer,16,2048,15450
Reformer,16,4096,28856
Reformer,32,1,2044
Reformer,32,2,2046
Reformer,32,4,2050
Reformer,32,8,2060
Reformer,32,16,2062
Reformer,32,32,2096
Reformer,32,64,2228
Reformer,32,128,2472
Reformer,32,256,2904
Reformer,32,512,8714
Reformer,32,1024,15430
Reformer,32,2048,28920
Reformer,32,4096,N/A
