model,batch_size,sequence_length,result
BERT_base,1,1,1870
BERT_base,1,2,1870
BERT_base,1,4,1870
BERT_base,1,8,1870
BERT_base,1,16,1870
BERT_base,1,32,1870
BERT_base,1,64,1872
BERT_base,1,128,1874
BERT_base,1,256,1906
BERT_base,1,512,1940
BERT_base,2,1,1870
BERT_base,2,2,1870
BERT_base,2,4,1870
BERT_base,2,8,1870
BERT_base,2,16,1870
BERT_base,2,32,1872
BERT_base,2,64,1874
BERT_base,2,128,1906
BERT_base,2,256,1928
BERT_base,2,512,2076
BERT_base,4,1,1870
BERT_base,4,2,1870
BERT_base,4,4,1870
BERT_base,4,8,1870
BERT_base,4,16,1872
BERT_base,4,32,1872
BERT_base,4,64,1908
BERT_base,4,128,1928
BERT_base,4,256,2016
BERT_base,4,512,2234
BERT_base,8,1,1870
BERT_base,8,2,1870
BERT_base,8,4,1870
BERT_base,8,8,1872
BERT_base,8,16,1872
BERT_base,8,32,1906
BERT_base,8,64,1928
BERT_base,8,128,2016
BERT_base,8,256,2186
BERT_base,8,512,2588
BERT_base,16,1,1870
BERT_base,16,2,1870
BERT_base,16,4,1872
BERT_base,16,8,1872
BERT_base,16,16,1906
BERT_base,16,32,1930
BERT_base,16,64,2028
BERT_base,16,128,2198
BERT_base,16,256,2492
BERT_base,16,512,3330
BERT_base,32,1,1870
BERT_base,32,2,1872
BERT_base,32,4,1872
BERT_base,32,8,1906
BERT_base,32,16,1928
BERT_base,32,32,2028
BERT_base,32,64,2186
BERT_base,32,128,2528
BERT_base,32,256,3138
BERT_base,32,512,4788
BERT_large,1,1,2686
BERT_large,1,2,2686
BERT_large,1,4,2686
BERT_large,1,8,2688
BERT_large,1,16,2688
BERT_large,1,32,2688
BERT_large,1,64,2690
BERT_large,1,128,2708
BERT_large,1,256,2724
BERT_large,1,512,2796
BERT_large,2,1,2686
BERT_large,2,2,2686
BERT_large,2,4,2688
BERT_large,2,8,2688
BERT_large,2,16,2688
BERT_large,2,32,2690
BERT_large,2,64,2708
BERT_large,2,128,2724
BERT_large,2,256,2766
BERT_large,2,512,2884
BERT_large,4,1,2686
BERT_large,4,2,2688
BERT_large,4,4,2688
BERT_large,4,8,2688
BERT_large,4,16,2690
BERT_large,4,32,2706
BERT_large,4,64,2726
BERT_large,4,128,2764
BERT_large,4,256,2854
BERT_large,4,512,3102
BERT_large,8,1,2688
BERT_large,8,2,2688
BERT_large,8,4,2688
BERT_large,8,8,2690
BERT_large,8,16,2706
BERT_large,8,32,2724
BERT_large,8,64,2764
BERT_large,8,128,2856
BERT_large,8,256,3040
BERT_large,8,512,3508
BERT_large,16,1,2688
BERT_large,16,2,2688
BERT_large,16,4,2690
BERT_large,16,8,2706
BERT_large,16,16,2724
BERT_large,16,32,2766
BERT_large,16,64,2856
BERT_large,16,128,3074
BERT_large,16,256,3382
BERT_large,16,512,4330
BERT_large,32,1,2688
BERT_large,32,2,2690
BERT_large,32,4,2706
BERT_large,32,8,2724
BERT_large,32,16,2766
BERT_large,32,32,2852
BERT_large,32,64,3058
BERT_large,32,128,3428
BERT_large,32,256,4076
BERT_large,32,512,5972
RoBERTa_base,1,1,1932
RoBERTa_base,1,2,1932
RoBERTa_base,1,4,1932
RoBERTa_base,1,8,1932
RoBERTa_base,1,16,1932
RoBERTa_base,1,32,1932
RoBERTa_base,1,64,1934
RoBERTa_base,1,128,1962
RoBERTa_base,1,256,1988
RoBERTa_base,1,512,2044
RoBERTa_base,2,1,1932
RoBERTa_base,2,2,1932
RoBERTa_base,2,4,1932
RoBERTa_base,2,8,1932
RoBERTa_base,2,16,1932
RoBERTa_base,2,32,1934
RoBERTa_base,2,64,1962
RoBERTa_base,2,128,1988
RoBERTa_base,2,256,2032
RoBERTa_base,2,512,2222
RoBERTa_base,4,1,1932
RoBERTa_base,4,2,1932
RoBERTa_base,4,4,1932
RoBERTa_base,4,8,1932
RoBERTa_base,4,16,1934
RoBERTa_base,4,32,1960
RoBERTa_base,4,64,1990
RoBERTa_base,4,128,2032
RoBERTa_base,4,256,2162
RoBERTa_base,4,512,2462
RoBERTa_base,8,1,1932
RoBERTa_base,8,2,1932
RoBERTa_base,8,4,1932
RoBERTa_base,8,8,1934
RoBERTa_base,8,16,1960
RoBERTa_base,8,32,1988
RoBERTa_base,8,64,2032
RoBERTa_base,8,128,2162
RoBERTa_base,8,256,2414
RoBERTa_base,8,512,2982
RoBERTa_base,16,1,1932
RoBERTa_base,16,2,1932
RoBERTa_base,16,4,1934
RoBERTa_base,16,8,1960
RoBERTa_base,16,16,1988
RoBERTa_base,16,32,2034
RoBERTa_base,16,64,2174
RoBERTa_base,16,128,2426
RoBERTa_base,16,256,2886
RoBERTa_base,16,512,4056
RoBERTa_base,32,1,1932
RoBERTa_base,32,2,1934
RoBERTa_base,32,4,1960
RoBERTa_base,32,8,1988
RoBERTa_base,32,16,2032
RoBERTa_base,32,32,2162
RoBERTa_base,32,64,2414
RoBERTa_base,32,128,2922
RoBERTa_base,32,256,3864
RoBERTa_base,32,512,6178
RoBERTa_large,1,1,2770
RoBERTa_large,1,2,2770
RoBERTa_large,1,4,2772
RoBERTa_large,1,8,2770
RoBERTa_large,1,16,2772
RoBERTa_large,1,32,2772
RoBERTa_large,1,64,2788
RoBERTa_large,1,128,2802
RoBERTa_large,1,256,2828
RoBERTa_large,1,512,2926
RoBERTa_large,2,1,2770
RoBERTa_large,2,2,2772
RoBERTa_large,2,4,2770
RoBERTa_large,2,8,2772
RoBERTa_large,2,16,2772
RoBERTa_large,2,32,2788
RoBERTa_large,2,64,2800
RoBERTa_large,2,128,2828
RoBERTa_large,2,256,2910
RoBERTa_large,2,512,3052
RoBERTa_large,4,1,2772
RoBERTa_large,4,2,2770
RoBERTa_large,4,4,2772
RoBERTa_large,4,8,2772
RoBERTa_large,4,16,2788
RoBERTa_large,4,32,2800
RoBERTa_large,4,64,2830
RoBERTa_large,4,128,2890
RoBERTa_large,4,256,3020
RoBERTa_large,4,512,3352
RoBERTa_large,8,1,2770
RoBERTa_large,8,2,2772
RoBERTa_large,8,4,2772
RoBERTa_large,8,8,2788
RoBERTa_large,8,16,2800
RoBERTa_large,8,32,2828
RoBERTa_large,8,64,2910
RoBERTa_large,8,128,3024
RoBERTa_large,8,256,3288
RoBERTa_large,8,512,3924
RoBERTa_large,16,1,2772
RoBERTa_large,16,2,2772
RoBERTa_large,16,4,2788
RoBERTa_large,16,8,2800
RoBERTa_large,16,16,2828
RoBERTa_large,16,32,2892
RoBERTa_large,16,64,3024
RoBERTa_large,16,128,3324
RoBERTa_large,16,256,3796
RoBERTa_large,16,512,5078
RoBERTa_large,32,1,2772
RoBERTa_large,32,2,2788
RoBERTa_large,32,4,2800
RoBERTa_large,32,8,2828
RoBERTa_large,32,16,2892
RoBERTa_large,32,32,3020
RoBERTa_large,32,64,3308
RoBERTa_large,32,128,3844
RoBERTa_large,32,256,4822
RoBERTa_large,32,512,7386
dist_bert,1,1,1694
dist_bert,1,2,1694
dist_bert,1,4,1694
dist_bert,1,8,1694
dist_bert,1,16,1694
dist_bert,1,32,1694
dist_bert,1,64,1696
dist_bert,1,128,1698
dist_bert,1,256,1730
dist_bert,1,512,1766
dist_bert,2,1,1694
dist_bert,2,2,1694
dist_bert,2,4,1694
dist_bert,2,8,1694
dist_bert,2,16,1694
dist_bert,2,32,1696
dist_bert,2,64,1696
dist_bert,2,128,1730
dist_bert,2,256,1754
dist_bert,2,512,1882
dist_bert,4,1,1694
dist_bert,4,2,1694
dist_bert,4,4,1694
dist_bert,4,8,1694
dist_bert,4,16,1696
dist_bert,4,32,1696
dist_bert,4,64,1732
dist_bert,4,128,1754
dist_bert,4,256,1858
dist_bert,4,512,2070
dist_bert,8,1,1694
dist_bert,8,2,1694
dist_bert,8,4,1694
dist_bert,8,8,1696
dist_bert,8,16,1696
dist_bert,8,32,1730
dist_bert,8,64,1754
dist_bert,8,128,1858
dist_bert,8,256,2022
dist_bert,8,512,2436
dist_bert,16,1,1694
dist_bert,16,2,1694
dist_bert,16,4,1696
dist_bert,16,8,1696
dist_bert,16,16,1730
dist_bert,16,32,1754
dist_bert,16,64,1858
dist_bert,16,128,2034
dist_bert,16,256,2340
dist_bert,16,512,3200
dist_bert,32,1,1694
dist_bert,32,2,1696
dist_bert,32,4,1696
dist_bert,32,8,1730
dist_bert,32,16,1754
dist_bert,32,32,1858
dist_bert,32,64,2022
dist_bert,32,128,2376
dist_bert,32,256,3008
dist_bert,32,512,4706
MiniLM,1,1,1542
MiniLM,1,2,1542
MiniLM,1,4,1542
MiniLM,1,8,1542
MiniLM,1,16,1542
MiniLM,1,32,1542
MiniLM,1,64,1542
MiniLM,1,128,1544
MiniLM,1,256,1564
MiniLM,1,512,1572
MiniLM,2,1,1542
MiniLM,2,2,1542
MiniLM,2,4,1542
MiniLM,2,8,1542
MiniLM,2,16,1542
MiniLM,2,32,1542
MiniLM,2,64,1544
MiniLM,2,128,1544
MiniLM,2,256,1568
MiniLM,2,512,1610
MiniLM,4,1,1542
MiniLM,4,2,1542
MiniLM,4,4,1542
MiniLM,4,8,1542
MiniLM,4,16,1542
MiniLM,4,32,1544
MiniLM,4,64,1546
MiniLM,4,128,1568
MiniLM,4,256,1586
MiniLM,4,512,1678
MiniLM,8,1,1542
MiniLM,8,2,1542
MiniLM,8,4,1542
MiniLM,8,8,1542
MiniLM,8,16,1544
MiniLM,8,32,1546
MiniLM,8,64,1568
MiniLM,8,128,1562
MiniLM,8,256,1630
MiniLM,8,512,1794
MiniLM,16,1,1542
MiniLM,16,2,1542
MiniLM,16,4,1542
MiniLM,16,8,1544
MiniLM,16,16,1544
MiniLM,16,32,1570
MiniLM,16,64,1562
MiniLM,16,128,1606
MiniLM,16,256,1698
MiniLM,16,512,2010
MiniLM,32,1,1542
MiniLM,32,2,1542
MiniLM,32,4,1544
MiniLM,32,8,1544
MiniLM,32,16,1568
MiniLM,32,32,1562
MiniLM,32,64,1594
MiniLM,32,128,1650
MiniLM,32,256,1818
MiniLM,32,512,2478
MiniLM_multilingual,1,1,1864
MiniLM_multilingual,1,2,1864
MiniLM_multilingual,1,4,1864
MiniLM_multilingual,1,8,1864
MiniLM_multilingual,1,16,1864
MiniLM_multilingual,1,32,1864
MiniLM_multilingual,1,64,1864
MiniLM_multilingual,1,128,1866
MiniLM_multilingual,1,256,1886
MiniLM_multilingual,1,512,1894
MiniLM_multilingual,2,1,1864
