model,batch_size,sequence_length,result
Reformer,1,1,1730
Reformer,1,2,1730
Reformer,1,4,1730
Reformer,1,8,1730
Reformer,1,16,1730
Reformer,1,32,1730
Reformer,1,64,1732
Reformer,1,128,1736
Reformer,1,256,1742
Reformer,1,512,1748
Reformer,1,1024,1828
Reformer,1,2048,1990
Reformer,1,4096,2440
Reformer,2,1,1728
Reformer,2,2,1728
Reformer,2,4,1728
Reformer,2,8,1730
Reformer,2,16,1730
Reformer,2,32,1732
Reformer,2,64,1736
Reformer,2,128,1740
Reformer,2,256,1748
Reformer,2,512,1828
Reformer,2,1024,1990
Reformer,2,2048,2440
Reformer,2,4096,3298
Reformer,4,1,1728
Reformer,4,2,1728
Reformer,4,4,1730
Reformer,4,8,1730
Reformer,4,16,1732
Reformer,4,32,1736
Reformer,4,64,1740
Reformer,4,128,1750
Reformer,4,256,1730
Reformer,4,512,1990
Reformer,4,1024,2440
Reformer,4,2048,3298
Reformer,4,4096,5060
Reformer,8,1,1728
Reformer,8,2,1730
Reformer,8,4,1730
Reformer,8,8,1732
Reformer,8,16,1736
Reformer,8,32,1740
Reformer,8,64,1750
Reformer,8,128,1730
Reformer,8,256,1732
Reformer,8,512,2440
Reformer,8,1024,3298
Reformer,8,2048,5060
Reformer,8,4096,8386
Reformer,16,1,1730
Reformer,16,2,1730
Reformer,16,4,1732
Reformer,16,8,1736
Reformer,16,16,1740
Reformer,16,32,1748
Reformer,16,64,1732
Reformer,16,128,1732
Reformer,16,256,1800
Reformer,16,512,3312
Reformer,16,1024,5060
Reformer,16,2048,8386
Reformer,16,4096,15044
Reformer,32,1,1762
Reformer,32,2,1764
Reformer,32,4,1768
Reformer,32,8,1772
Reformer,32,16,1780
Reformer,32,32,1762
Reformer,32,64,1764
Reformer,32,128,1800
Reformer,32,256,2032
Reformer,32,512,5090
Reformer,32,1024,8386
Reformer,32,2048,15044
Reformer,32,4096,28356
