model,batch_size,sequence_length,result
BERT_base,1,1,1666
BERT_base,1,2,1666
BERT_base,1,4,1666
BERT_base,1,8,1666
BERT_base,1,16,1668
BERT_base,1,32,1666
BERT_base,1,64,1668
BERT_base,1,128,1670
BERT_base,1,256,1670
BERT_base,1,512,1674
BERT_base,2,1,1666
BERT_base,2,2,1666
BERT_base,2,4,1666
BERT_base,2,8,1668
BERT_base,2,16,1666
BERT_base,2,32,1668
BERT_base,2,64,1670
BERT_base,2,128,1670
BERT_base,2,256,1674
BERT_base,2,512,1668
BERT_base,4,1,1666
BERT_base,4,2,1666
BERT_base,4,4,1668
BERT_base,4,8,1666
BERT_base,4,16,1668
BERT_base,4,32,1668
BERT_base,4,64,1670
BERT_base,4,128,1674
BERT_base,4,256,1666
BERT_base,4,512,1782
BERT_base,8,1,1666
BERT_base,8,2,1668
BERT_base,8,4,1666
BERT_base,8,8,1668
BERT_base,8,16,1668
BERT_base,8,32,1670
BERT_base,8,64,1676
BERT_base,8,128,1666
BERT_base,8,256,1780
BERT_base,8,512,1944
BERT_base,16,1,1668
BERT_base,16,2,1666
BERT_base,16,4,1668
BERT_base,16,8,1668
BERT_base,16,16,1670
BERT_base,16,32,1674
BERT_base,16,64,1666
BERT_base,16,128,1780
BERT_base,16,256,1894
BERT_base,16,512,2314
BERT_base,32,1,1666
BERT_base,32,2,1668
BERT_base,32,4,1668
BERT_base,32,8,1670
BERT_base,32,16,1674
BERT_base,32,32,1668
BERT_base,32,64,1780
BERT_base,32,128,1894
BERT_base,32,256,2168
BERT_base,32,512,3056
BERT_large,1,1,2498
BERT_large,1,2,2498
BERT_large,1,4,2498
BERT_large,1,8,2498
BERT_large,1,16,2498
BERT_large,1,32,2498
BERT_large,1,64,2498
BERT_large,1,128,2502
BERT_large,1,256,2500
BERT_large,1,512,2504
BERT_large,2,1,2498
BERT_large,2,2,2498
BERT_large,2,4,2498
BERT_large,2,8,2498
BERT_large,2,16,2498
BERT_large,2,32,2498
BERT_large,2,64,2500
BERT_large,2,128,2502
BERT_large,2,256,2504
BERT_large,2,512,2498
BERT_large,4,1,2498
BERT_large,4,2,2498
BERT_large,4,4,2498
BERT_large,4,8,2498
BERT_large,4,16,2498
BERT_large,4,32,2500
BERT_large,4,64,2502
BERT_large,4,128,2504
BERT_large,4,256,2498
BERT_large,4,512,2498
BERT_large,8,1,2498
BERT_large,8,2,2498
BERT_large,8,4,2498
BERT_large,8,8,2498
BERT_large,8,16,2500
BERT_large,8,32,2500
BERT_large,8,64,2506
BERT_large,8,128,2498
BERT_large,8,256,2498
BERT_large,8,512,2790
BERT_large,16,1,2498
BERT_large,16,2,2498
BERT_large,16,4,2498
BERT_large,16,8,2500
BERT_large,16,16,2500
BERT_large,16,32,2504
BERT_large,16,64,2498
BERT_large,16,128,2498
BERT_large,16,256,2726
BERT_large,16,512,3208
BERT_large,32,1,2498
BERT_large,32,2,2498
BERT_large,32,4,2500
BERT_large,32,8,2500
BERT_large,32,16,2504
BERT_large,32,32,2500
BERT_large,32,64,2498
BERT_large,32,128,2726
BERT_large,32,256,3016
BERT_large,32,512,4046
RoBERTa_base,1,1,1758
RoBERTa_base,1,2,1758
RoBERTa_base,1,4,1758
RoBERTa_base,1,8,1760
RoBERTa_base,1,16,1758
RoBERTa_base,1,32,1758
RoBERTa_base,1,64,1760
RoBERTa_base,1,128,1762
RoBERTa_base,1,256,1762
RoBERTa_base,1,512,1766
RoBERTa_base,2,1,1758
RoBERTa_base,2,2,1758
RoBERTa_base,2,4,1760
RoBERTa_base,2,8,1758
RoBERTa_base,2,16,1758
RoBERTa_base,2,32,1760
RoBERTa_base,2,64,1762
RoBERTa_base,2,128,1762
RoBERTa_base,2,256,1766
RoBERTa_base,2,512,1758
RoBERTa_base,4,1,1758
RoBERTa_base,4,2,1760
RoBERTa_base,4,4,1758
RoBERTa_base,4,8,1758
RoBERTa_base,4,16,1760
RoBERTa_base,4,32,1760
RoBERTa_base,4,64,1762
RoBERTa_base,4,128,1766
RoBERTa_base,4,256,1758
RoBERTa_base,4,512,1956
RoBERTa_base,8,1,1760
RoBERTa_base,8,2,1758
RoBERTa_base,8,4,1758
RoBERTa_base,8,8,1760
RoBERTa_base,8,16,1760
RoBERTa_base,8,32,1762
RoBERTa_base,8,64,1768
RoBERTa_base,8,128,1758
RoBERTa_base,8,256,1956
RoBERTa_base,8,512,2152
RoBERTa_base,16,1,1758
RoBERTa_base,16,2,1758
RoBERTa_base,16,4,1760
RoBERTa_base,16,8,1760
RoBERTa_base,16,16,1762
RoBERTa_base,16,32,1766
RoBERTa_base,16,64,1758
RoBERTa_base,16,128,1956
RoBERTa_base,16,256,2152
RoBERTa_base,16,512,2640
RoBERTa_base,32,1,1758
RoBERTa_base,32,2,1760
RoBERTa_base,32,4,1760
RoBERTa_base,32,8,1762
RoBERTa_base,32,16,1766
RoBERTa_base,32,32,1760
RoBERTa_base,32,64,1956
RoBERTa_base,32,128,2152
RoBERTa_base,32,256,2544
RoBERTa_base,32,512,3738
RoBERTa_large,1,1,2622
RoBERTa_large,1,2,2622
RoBERTa_large,1,4,2622
RoBERTa_large,1,8,2622
RoBERTa_large,1,16,2622
RoBERTa_large,1,32,2622
RoBERTa_large,1,64,2624
RoBERTa_large,1,128,2626
RoBERTa_large,1,256,2626
RoBERTa_large,1,512,2630
RoBERTa_large,2,1,2622
RoBERTa_large,2,2,2622
RoBERTa_large,2,4,2622
RoBERTa_large,2,8,2622
RoBERTa_large,2,16,2622
RoBERTa_large,2,32,2624
RoBERTa_large,2,64,2626
RoBERTa_large,2,128,2628
RoBERTa_large,2,256,2630
RoBERTa_large,2,512,2622
RoBERTa_large,4,1,2622
RoBERTa_large,4,2,2622
RoBERTa_large,4,4,2622
RoBERTa_large,4,8,2622
RoBERTa_large,4,16,2624
RoBERTa_large,4,32,2626
RoBERTa_large,4,64,2626
RoBERTa_large,4,128,2630
RoBERTa_large,4,256,2622
RoBERTa_large,4,512,2622
RoBERTa_large,8,1,2622
RoBERTa_large,8,2,2622
RoBERTa_large,8,4,2622
RoBERTa_large,8,8,2624
RoBERTa_large,8,16,2626
RoBERTa_large,8,32,2626
RoBERTa_large,8,64,2632
RoBERTa_large,8,128,2622
RoBERTa_large,8,256,2622
RoBERTa_large,8,512,3016
RoBERTa_large,16,1,2622
RoBERTa_large,16,2,2622
RoBERTa_large,16,4,2624
RoBERTa_large,16,8,2626
RoBERTa_large,16,16,2626
RoBERTa_large,16,32,2630
RoBERTa_large,16,64,2622
RoBERTa_large,16,128,2622
RoBERTa_large,16,256,3016
RoBERTa_large,16,512,3536
RoBERTa_large,32,1,2622
RoBERTa_large,32,2,2624
RoBERTa_large,32,4,2626
RoBERTa_large,32,8,2626
RoBERTa_large,32,16,2630
RoBERTa_large,32,32,2624
RoBERTa_large,32,64,2622
RoBERTa_large,32,128,3016
RoBERTa_large,32,256,3408
RoBERTa_large,32,512,4738
dist_bert,1,1,1492
dist_bert,1,2,1492
dist_bert,1,4,1492
dist_bert,1,8,1492
dist_bert,1,16,1494
dist_bert,1,32,1492
dist_bert,1,64,1494
dist_bert,1,128,1494
dist_bert,1,256,1494
dist_bert,1,512,1498
dist_bert,2,1,1492
dist_bert,2,2,1492
dist_bert,2,4,1492
dist_bert,2,8,1494
dist_bert,2,16,1492
dist_bert,2,32,1494
dist_bert,2,64,1496
dist_bert,2,128,1496
dist_bert,2,256,1498
